  l  lp m  mp k  ck 
  3  3 -2 -2  0   1.000000000000E+00
  3  3 -2 -2  2   0.000000000000E+00
  3  3 -2 -2  4  -2.121212121212E-01
  3  3 -2 -2  6   6.993006993007E-02
  3  3 -2 -1  2   2.581988897472E-01
  3  3 -2 -1  4   1.714198257422E-01
  3  3 -2 -1  6  -1.194283306056E-01
  3  3 -2  0  2  -2.981423970000E-01
  3  3 -2  0  4  -5.248638810815E-02
  3  3 -2  0  6   1.744362418076E-01
  3  3 -2  1  4  -1.133835571750E-01
  3  3 -2  1  6  -2.265993251192E-01
  3  3 -2  2  4   2.535333413740E-01
  3  3 -2  2  6   2.616543627115E-01
  3  3 -2  3  6  -2.505149797227E-01
  3  3 -1 -3  2  -2.108185106779E-01
  3  3 -1 -3  4   2.226808857076E-01
  3  3 -1 -3  6  -6.167252473344E-02
  3  3 -1 -2  2  -2.581988897472E-01
  3  3 -1 -2  4  -1.714198257422E-01
  3  3 -1 -2  6   1.194283306056E-01
  3  3 -1 -1  0   1.000000000000E+00
  3  3 -1 -1  2   2.000000000000E-01
  3  3 -1 -1  4   3.030303030303E-02
  3  3 -1 -1  6  -1.748251748252E-01
  3  3 -1  0  2   9.428090415821E-02
  3  3 -1  0  4   1.173631317033E-01
  3  3 -1  0  6   2.180453022596E-01
  3  3 -1  1  2  -3.265986323711E-01
  3  3 -1  1  4  -1.916531915254E-01
  3  3 -1  1  6  -2.388566612112E-01
  3  3 -1  2  4   1.133835571750E-01
  3  3 -1  2  6   2.265993251192E-01
  3  3 -1  3  4   1.963860817699E-01
  3  3 -1  3  6  -1.688971648740E-01
  3  3  0 -3  4   2.405228464604E-01
  3  3  0 -3  6  -1.068199462694E-01
  3  3  0 -2  2  -2.981423970000E-01
  3  3  0 -2  4  -5.248638810815E-02
  3  3  0 -2  6   1.744362418076E-01
  3  3  0 -1  2  -9.428090415821E-02
  3  3  0 -1  4  -1.173631317033E-01
  3  3  0 -1  6  -2.180453022596E-01
  3  3  0  0  0   1.000000000000E+00
  3  3  0  0  2   2.666666666667E-01
  3  3  0  0  4   1.818181818182E-01
  3  3  0  0  6   2.331002331002E-01
  3  3  0  1  2  -9.428090415821E-02
  3  3  0  1  4  -1.173631317033E-01
  3  3  0  1  6  -2.180453022596E-01
  3  3  0  2  2  -2.981423970000E-01
  3  3  0  2  4  -5.248638810815E-02
  3  3  0  2  6   1.744362418076E-01
  3  3  0  3  4   2.405228464604E-01
  3  3  0  3  6  -1.068199462694E-01
  3  3  1 -3  4   1.963860817699E-01
  3  3  1 -3  6  -1.688971648740E-01
  3  3  1 -2  4   1.133835571750E-01
  3  3  1 -2  6   2.265993251192E-01
  3  3  1 -1  2  -3.265986323711E-01
  3  3  1 -1  4  -1.916531915254E-01
  3  3  1 -1  6  -2.388566612112E-01
  3  3  1  0  2   9.428090415821E-02
  3  3  1  0  4   1.173631317033E-01
  3  3  1  0  6   2.180453022596E-01
  3  3  1  1  0   1.000000000000E+00
  3  3  1  1  2   2.000000000000E-01
  3  3  1  1  4   3.030303030303E-02
  3  3  1  1  6  -1.748251748252E-01
  3  3  1  2  2  -2.581988897472E-01
  3  3  1  2  4  -1.714198257422E-01
  3  3  1  2  6   1.194283306056E-01
  3  3  1  3  2  -2.108185106779E-01
  3  3  1  3  4   2.226808857076E-01
  3  3  1  3  6  -6.167252473344E-02
  3  3  2 -3  6  -2.505149797227E-01
  3  3  2 -2  4   2.535333413740E-01
  3  3  2 -2  6   2.616543627115E-01
  3  3  2 -1  4  -1.133835571750E-01
  3  3  2 -1  6  -2.265993251192E-01
  3  3  2  0  2  -2.981423970000E-01
  3  3  2  0  4  -5.248638810815E-02
  3  3  2  0  6   1.744362418076E-01
  3  3  2  1  2   2.581988897472E-01
  3  3  2  1  4   1.714198257422E-01
  3  3  2  1  6  -1.194283306056E-01
  3  3  2  2  0   1.000000000000E+00
  3  3  2  2  2   0.000000000000E+00
  3  3  2  2  4  -2.121212121212E-01
  3  3  2  2  6   6.993006993007E-02
  3  3  2  3  2  -3.333333333333E-01
  3  3  2  3  4   1.659765325773E-01
  3  3  2  3  6  -3.083626236672E-02
  3  3  3 -3  6  -3.542816819014E-01
  3  3  3 -2  6   2.505149797227E-01
  3  3  3 -1  4   1.963860817699E-01
  3  3  3 -1  6  -1.688971648740E-01
  3  3  3  0  4  -2.405228464604E-01
  3  3  3  0  6   1.068199462694E-01
  3  3  3  1  2  -2.108185106779E-01
  3  3  3  1  4   2.226808857076E-01
  3  3  3  1  6  -6.167252473344E-02
  3  3  3  2  2   3.333333333333E-01
  3  3  3  2  4  -1.659765325773E-01
  3  3  3  2  6   3.083626236672E-02
  3  3  3  3  0   1.000000000000E+00
  3  3  3  3  2  -3.333333333333E-01
  3  3  3  3  4   9.090909090909E-02
  3  3  3  3  6  -1.165501165501E-02
